original_title,budgets,popularity,revenue,runtime,vote_average,vote_count,spoken_languages,release_year,production_companies,genres
Fluke,15000000,12.899,0,96.0,7.2,209,English,1995,Metro-Goldwyn-Mayer,Drama Adventure Family
Koboy Kampus,0,0.917,0,92.0,5.0,2,Bahasa indonesia,2019,MNC Pictures,Drama Comedy Music
ママレード・ボーイ,0,17.45,0,23.0,5.5,13,日本語,1995,Toei Animation,Animation Romance
Gambler,0,1.932,0,163.0,7.4,4,हिन्दी,1995,,Action Comedy Comedy
Youp van 't Hek: Het is liegen of sterven,0,0.65,0,0.0,7.0,2,Nederlands,1995,,Comedy
Clueless,12000000,53.081,56631572,97.0,7.3,3460,Español,1995,Paramount,Comedy Romance
E. M. Cioran. Sa vie. Son oeuvre,0,0.6,0,52.0,6.0,4,Français,1999,SIIS-INTERIMAGE,Documentary
Juletestamentet,0,0.6,0,100.0,9.0,1,Dansk,1995,,Drama
Les Années Chirac,0,0.6,0,,0.0,0,,2007,TF1,Documentary
אבא עושה בושות,0,0.6,0,,0.0,0,עִבְרִית,1995,"ים הפקות בע""מ",Family
Aurora: Operation Intercept,0,2.069,0,94.0,3.7,3,English,1995,,Action
Dokken - Japan Live '95,0,0.6,0,90.0,8.0,1,English,2003,,Music
The Immortals,50,4.443,83,98.0,6.5,13,English,1995,Nu Image,Action Crime Drama Thriller
GHOST IN THE SHELL,3000000,29.831,515905,83.0,7.9,2522,日本語,1995,Bandai Visual,Action Animation Science Fiction
WWE WrestleFest '95,0,0.6,0,120.0,0.0,0,,1995,Coliseum Video,
Mighty Morphin Power Rangers: The Movie,15000000,21.646,66000000,92.0,5.8,535,Español,1995,Saban Entertainment,Family Action Adventure Science Fiction Fantasy
GoldenEye,58000000,32.244,352194034,130.0,6.9,3101,English,1995,Eon Productions,Adventure Action Thriller
Desperado,7000000,25.214,25405445,104.0,6.9,2267,English,1995,Los Hooligans Productions,Thriller Action Crime
2538 อัลเทอร์มาจีบ,0,1.495,0,111.0,7.4,12,ภาษาไทย,2015,Mono Pictures,Drama Romance
Riverdance: The Show,0,1.96,0,71.0,9.8,4,English,1995,RTÉ,Music
Nature of the Beast,0,3.087,0,91.0,6.3,38,English,1995,MCP Sound & Media GmbH,Thriller Mystery Crime Horror
One Night in Heaven (East End Remix),0,0.6,0,5.0,0.0,0,,1995,,Music Comedy
Beyond the Time Barrier,125000,2.349,0,75.0,6.0,26,English,1960,Miller Consolidated Pictures (MCP),Romance Science Fiction
National Geographic - Den Löwen auf der Spur,0,0.6,0,0.0,0.0,0,Deutsch,,National Geographic,Documentary
西遊記大結局之仙履奇緣,0,11.037,2692748,99.0,7.4,127,广州话 / 廣州話,1995,Choi Sing Din Ying Gung Shut,Comedy Fantasy
Nine Months,0,10.275,138510230,103.0,5.7,524,English,1995,1492 Pictures,Romance Comedy
Ermione,0,0.6,0,138.0,0.0,0,Italiano,1995,Channel 4 Television,Music
Escape to Witch Mountain,0,5.013,0,87.0,5.3,41,English,1995,Disney Channel,Adventure Family Fantasy TV Movie
Don Giovanni,0,0.6,0,176.0,0.0,0,Italiano,1995,Glyndebourne Festival Opera,Music
The Show,0,1.097,0,93.0,7.0,7,,1995,,Documentary
Bruce Springsteen & The E Street Band: Thunder Road,0,0.851,0,77.0,0.0,0,English,1995,,Music
The Living Sea,0,1.317,87600000,39.0,7.2,11,English,1995,MacGillivray Freeman Films,Documentary
Fist of the North Star,7000000,5.504,0,103.0,4.2,50,English,1995,First Look International,Action Science Fiction Thriller
The Shawshank Redemption,25000000,63.807,28341469,142.0,8.7,21327,English,1994,Castle Rock Entertainment,Drama Crime
Babe,30000000,23.17,254134910,91.0,6.2,2383,English,1995,Universal Pictures,Fantasy Drama Comedy Family
打ち上げ花火、下から見るか? 横から見るか?,0,3.112,0,49.0,6.7,15,日本語,1995,Nippon Herald Films,Romance Drama
西遊記第壹佰零壹回之月光寶盒,0,12.452,3237520,88.0,7.3,164,广州话 / 廣州話,1995,Choi Sing Din Ying Gung Shut,Fantasy Adventure Comedy
映画ドラえもん のび太の創世日記,0,3.667,0,97.0,7.1,7,日本語,1995,,Animation Science Fiction
Oasis - Knebworth 1996,0,6.701,0,110.0,7.8,12,English,2021,Black Dog Films,Documentary Music
1996 뽕,0,2.951,0,95.0,6.0,1,한국어/조선말,1996,,Drama
WWE SummerSlam 1996,0,2.423,0,171.0,8.5,2,English,1996,World Wrestling Entertainment (WWE),Action Drama
WCW Hog Wild 1996,0,3.103,0,172.0,0.0,0,English,1996,World Championship Wrestling (WCW),Action
WWE Royal Rumble 1996,0,3.016,0,169.0,7.3,4,English,1996,World Wrestling Entertainment (WWE),Action Drama
WWE Survivor Series 1996,0,2.701,0,174.0,7.3,5,English,1996,World Wrestling Entertainment (WWE),Action Drama
WCW Uncensored 1996,0,2.033,0,165.0,0.0,0,English,1996,World Championship Wrestling (WCW),Action
WWE King of the Ring 1996,0,2.615,0,170.0,9.0,4,English,1996,World Wrestling Entertainment (WWE),Action Drama
Oasis - Knebworth 1996 (Saturday Night),0,2.23,0,111.0,10.0,1,English,2021,,Music
WCW Starrcade 1996,0,1.606,0,165.0,0.0,0,English,1996,World Championship Wrestling (WCW),Action
Bryan Adams - Wembley Live 1996,0,1.536,0,143.0,9.0,2,English,2016,Eagle Rock Entertainment,Music
